REGIAO,UF,MUNICIPIO,REVENDA,CNPJ,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,CEP,PRODUTO,DT_COLETA,VL_VENDA,VL_COMPRA,UN_MEDIDA,BANDEIRA
CO,GO,ANAPOLIS,COMÉRCIO TRANSPORTE MOURAGAS LTDA, 26.717.744/0001-15,AVENIDA  JUSCELINO KUBITSCHEK,2476,,ALTO DA BELA VISTA,75105-770,GLP,05/07/2021,85,,R$ / 13 kg,CONSIGAZ
SE,RJ,DUQUE DE CAXIAS,JULIANA GÁS DISTRIBUIDORA LTDA ME, 40.375.768/0001-64,RUA SILVA JARDIM,654,,VILA SAO LUIS,25086-141,GLP,05/07/2021,79,,R$ / 13 kg,ULTRAGAZ
NE,PE,ARCOVERDE,MARIA JOSE ALEXANDRE JAPIASSU CAVALCANTI EIRELI, 41.247.743/0001-48,AV JOSE BONIFACIO,1895,,SÃO CRISTÓVÃO,56512-000,GLP,05/07/2021,87,,R$ / 13 kg,NACIONAL GÁS BUTANO
SE,MG,UBERLANDIA,COMERCIO DE GAS SAO JORGE LTDA, 41.754.532/0001-00,RUA LIOPINO LOURENCO DE ARAUJO,280,,LARANJEIRAS,38410-232,GLP,05/07/2021,93,,R$ / 13 kg,BRANCA
SE,MG,UBERLANDIA,AQUIGAS EIRELI, 42.822.791/0001-85,AVENIDA DOUTOR  LAERTE VIEIRA GONCALVES,1136,,SANTA MONICA,38408-176,GLP,05/07/2021,95,,R$ / 13 kg,BRANCA
SE,SP,GUARULHOS,TRANSGAS COMERCIO E TRANSPORTE DE GAS LTDA, 44.187.086/0001-89,RUA VICENTE MELRO,912,,VILA GALVAO,07056-110,GLP,05/07/2021,93,,R$ / 13 kg,ULTRAGAZ
SE,SP,PIRACICABA,REVENDEDORA DE GAS PIRACICABANA LTDA, 45.674.868/0001-05,AVENIDA COMENDADOR LUCIANO GUIDOTTI,1125,,JARDIM ELITE,13425-000,GLP,05/07/2021,90,,R$ / 13 kg,BRANCA
SE,SP,GUARULHOS,RAMOGAS COMERCIO DE GAS LTDA, 49.318.645/0001-66,AVENIDA PROFESSOR  JOSE MUNHOZ,726,,JARDIM MUNHOZ,07033-000,GLP,05/07/2021,94.99,,R$ / 13 kg,COPAGAZ
SE,SP,GARCA,GARÇAGAS LTDA., 49.887.060/0001-67,RUA JOAQUIM PIZA,807,817,VILA GUANABARA,17400-000,GLP,05/07/2021,86,,R$ / 13 kg,ULTRAGAZ
SE,SP,DIADEMA,BRASGAS TRANSP. COM. LTDA., 52.341.641/0001-03,AVENIDA BRASILIA,352,,JARDIM CAMPANARIO,09931-400,GLP,05/07/2021,95,,R$ / 13 kg,LIQUIGÁS
SE,SP,SAO JOSE DO RIO PRETO,LIG-GAS RIO PRETO LTDA., 54.477.641/0001-60,RUA OSWALDO ARANHA,479,,PARQUE INDUSTRIAL,15025-620,GLP,05/07/2021,85,,R$ / 13 kg,LIQUIGÁS
SE,SP,COTIA,COTIGAS COMERCIO DE GAS LTDA, 55.115.224/0001-30,RUA LADISLAU NUNES DOS SANTOS,36,,CENTRO,06700-000,GLP,05/07/2021,89.99,,R$ / 13 kg,ULTRAGAZ
SE,SP,CRUZEIRO,ANTONIO CUSTODIO DE SOUZA - MANGUEIRAS, 55.635.395/0001-90,AVENIDA GOVERNADOR JANIO QUADROS,1111,,VILA BIONDI,12701-000,GLP,05/07/2021,77.9,,R$ / 13 kg,FOGAS
SE,SP,ITU,CIDADE NOVA COMERCIAL DE GÁS LTDA - ME, 56.331.614/0001-00,RUA MAUÁ,44,,CIDADE NOVA,13308-133,GLP,05/07/2021,64.99,,R$ / 13 kg,BRANCA
SE,SP,CATANDUVA,ABAC REVENDEDORA DE GAS LTDA, 56.381.494/0001-56,AVENIDA PALMARES,1410,,JARDIM BELA VISTA,15804-115,GLP,05/07/2021,86,,R$ / 13 kg,ULTRAGAZ
SE,SP,TABOAO DA SERRA,HELIO ROVESTA CATARINO-ME, 59.617.621/0001-61,RUA JOSEFINA FONSECA,220,,JARDIM SUINA,06773-040,GLP,05/07/2021,92.99,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,SP,BRAGANCA PAULISTA,MARIA ANTONIA VIEIRA GONCALVES - ME, 65.799.116/0001-88,AVENIDA DOS IMIGRANTES,4279,,JD. SAO LORENCO,12908-590,GLP,05/07/2021,95,,R$ / 13 kg,ULTRAGAZ
SE,SP,PARAGUACU PAULISTA,APARECIDO JOSE GARCIA GAS - ME, 67.586.404/0001-80,RUA ANTONIO MACHADO,735,,VILA AFFINE,19700-000,GLP,05/07/2021,90,,R$ / 13 kg,BRANCA
SE,SP,ITU,CICERO JOSE DOS SANTOS ITU ME, 68.412.444/0001-78,RUA PROFESSOR MARIO MACEDO.,21,,RANCHO GRANDE,13301-331,GLP,05/07/2021,88,,R$ / 13 kg,NACIONAL GÁS BUTANO
SE,MG,IPATINGA,IPAGAS LTDA, 68.551.522/0001-15,AVENIDA GALILEIA,99,,CANAA,35164-165,GLP,05/07/2021,95,,R$ / 13 kg,NGC DISTRIBUIDORA
SE,RJ,NILOPOLIS,EMANUEL REVENDEDOR DE GAS LTDA ME., 68.583.806/0001-93,ESTRADA JOÃO EVANG. DE CARVALHO,66,,OLINDA NILOPOLIS,26540-050,GLP,05/07/2021,80,,R$ / 13 kg,BRANCA
SE,RJ,SAO JOAO DE MERITI,BAZAR ALUMAR LTDA ME, 68.667.021/0001-07,AV NILO PECANHA,S/N,LT. 01 QD. B,VILAR DOS TELES,25565-000,GLP,05/07/2021,75,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,SP,EMBU DAS ARTES,EMBU DISQ GÁS TRANSPORTE E COMÉRCIO LTDA., 69.329.258/0001-32,RUA ALEARDO CARPI,25,,VL BONFIM,06804-175,GLP,05/07/2021,88,,R$ / 13 kg,LIQUIGÁS
SE,MG,IPATINGA,CARVALHO E GARDINGO LTDA, 71.118.939/0001-01,RUA CARLOS CHAGAS,885,,CIDADE NOBRE,35162-359,GLP,05/07/2021,90,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,MG,BELO HORIZONTE,RADAMES NAGIB BORJAILI - EPP, 71.221.865/0001-26,RUA MANOEL PASSOS,407,,SANTA CRUZ,31150-470,GLP,05/07/2021,85,,R$ / 13 kg,ULTRAGAZ
SE,MG,JOAO PINHEIRO,JOCIMAR FARIA DE MELO, 71.442.867/0001-45,RUA ALBERTINO MAIA,289,,ESPLANADA,38770-000,GLP,05/07/2021,95,,R$ / 13 kg,BRANCA
SE,SP,SANTO ANDRE,ADEMIR CUSTODIO GAS ME, 72.023.757/0001-01,AVENIDA SOROCABA,547,,PARQUE JOÃO RAMALHO,09290-260,GLP,05/07/2021,93.99,,R$ / 13 kg,ULTRAGAZ
SE,SP,MAUA,B. V. COMÉRCIO DE GÁS LIQUEFEITO LTDA. - ME., 72.893.787/0001-79,RUA TRES AMERICAS,5,,JARDIM SANTA LIDIA,09350-520,GLP,05/07/2021,90,,R$ / 13 kg,LIQUIGÁS
SE,RJ,DUQUE DE CAXIAS,A M 745 COMERCIO E DISTRIBUICAO DE GAS LTDA - ME, 73.790.958/0001-05,RUA SANTOS DUMONT,930,QD. 34 LT. 39 LT. 40 LOTEAMENTO VILA SAO SEBASTIAO,VILA SAO LUIZ,25065-200,GLP,05/07/2021,74.99,,R$ / 13 kg,COPAGAZ
S,PR,LONDRINA,ART GAZ COMÉRCIO DE GÁS LTDA, 78.470.705/0001-60,RUA   EDWY TAQUES DE ARAÚJO,1650,,JARDIM BURLE MARX,86047-790,GLP,05/07/2021,105,,R$ / 13 kg,SUPERGASBRAS ENERGIA
S,SC,JOINVILLE,JOSE OSVALDO DE OLIVEIRA EIRELI, 78.815.958/0002-09,RUA INÁCIO BASTOS,600,,BUCAREIN,89202-310,GLP,05/07/2021,95,,R$ / 13 kg,LIQUIGÁS
N,PA,MARABA,MARISOL COMERCIO DE GLP EIRELI, 83.646.067/0001-25,AVENIDA BOA ESPERANCA,489,QUADRA144                 LOTE  01 E 03,LARANJEIRA,68501-170,GLP,05/07/2021,100,,R$ / 13 kg,SUPERGASBRAS ENERGIA
N,AM,MANAUS,SANDRA S MARTINS - ME, 84.136.159/0001-28,R 155,11,QUADRA 306 NC 9,CIDADE NOVA,69097-480,GLP,05/07/2021,96,,R$ / 13 kg,FOGAS
S,PR,PARANAVAI,PAULO AGOSTINHO & CIA LTDA, 86.867.447/0001-88,AV PARIGOT DE SOUZA,2829,,JARDIM IBIRAPUERA,87705-020,GLP,05/07/2021,98,,R$ / 13 kg,SUPERGASBRAS ENERGIA
N,TO,GURUPI,EXTRA COMERCIO DE GAS LTDA, 05.484.499/0001-73,RUA D,1813,QUADRA 02 LOTE 10,SETOR CRUZEIRO,77413-660,GLP,05/07/2021,110,,R$ / 13 kg,BRANCA
S,RS,CAXIAS DO SUL,VS COMERCIO DE GAS LTDA - EPP, 05.634.959/0001-00,RUA   VALERIANO GOMES DE ALMEIDA,63,,SERRANO,95059-190,GLP,05/07/2021,93,,R$ / 13 kg,LIQUIGÁS
CO,MT,CUIABA,ISABEL FERREIRA CORREIA ME, 04.665.924/0001-68,RUA QUILOMBO,69,,BAIRRO QUILOMBO,78045-070,GLP,05/07/2021,109,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,MG,BELO HORIZONTE,GISLENE FERREIRA DA MATA, 05.797.037/0001-06,PRAÇA  SÃO GABRIEL,175,,SÃO GABRIEL,31985-070,GLP,05/07/2021,103,,R$ / 13 kg,SUPERGASBRAS ENERGIA
CO,MT,VARZEA GRANDE,FORTALEZA GAS DISTRIBUIDORA EIRELI, 05.158.147/0001-28,RUA BRIGADEIRO EDUARDO GOMES (LOT P IPIRANGA I),324,,CENTRO-SUL,78125-006,GLP,05/07/2021,115,,R$ / 13 kg,BRANCA
NE,BA,SALVADOR,GERÔNIMO MASCARENHAS DE SOUZA, 05.036.703/0001-93,RUA DA GLORIA,8,,PERIPERI,40720-010,GLP,05/07/2021,74.99,,R$ / 13 kg,SUPERGASBRAS ENERGIA
N,TO,GURUPI,FLEXA GAS LTDA, 05.890.059/0001-16,RUA 31 DE MARCO,1119,,CENTRO,77402-030,GLP,05/07/2021,100,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,SP,GUARUJA,SRF - COMERCIO DE GAS LTDA, 05.516.846/0001-00,AVENIDA ADHEMAR DE BARROS,2935,,VILA LIGYA,11430-005,GLP,05/07/2021,89.99,,R$ / 13 kg,ULTRAGAZ
SE,SP,MAUA,COMERCIO DE GAS ITAPARK LTDA, 04.575.172/0001-44,AVENIDA ITAPARK,3.602,,BOCAINA,09310-370,GLP,05/07/2021,85.99,,R$ / 13 kg,BRANCA
SE,SP,ITATIBA,PALLADINO & BIANCO LTDA - ME, 04.357.014/0001-18,RUA ANTONIO ORDINE,210,,JD. VIRGINIA,13257-430,GLP,05/07/2021,78,,R$ / 13 kg,COPAGAZ
SE,RJ,DUQUE DE CAXIAS,REVENDEDORA DE GAS VILA SAO LUIZ LTDA, 02.077.643/0001-69,RUA QUINZE DE NOVEMBRO,SN,LT.39/40 QD.21,VILA SAO LUIZ,25065-136,GLP,05/07/2021,79.99,,R$ / 13 kg,BRANCA
SE,SP,DIADEMA,REYGAS COMERCIO E TRANSPORTE DE GAS LTDA. EPP, 00.319.201/0001-56,AVENIDA DOM JOAO VI,996,,JD. SANTA RITA,09940-150,GLP,05/07/2021,92.99,,R$ / 13 kg,ULTRAGAZ
SE,SP,RIBEIRAO PIRES,GASEX DISTRIBUIDORA DE GAS E ACESSORIOS DIVERSOS LTDA, 02.465.456/0001-52,RUA   OLAVO BILAC,169,,JARDIM COLONIA,09401-370,GLP,05/07/2021,93,,R$ / 13 kg,BRANCA
SE,SP,RIBEIRAO PIRES,PEQUENO E PEQUENO DISTRIBUIDORA DE AGUA E GAS LTDA - ME, 02.767.916/0001-05,AVENIDA FRANCISCO MONTEIRO,504,,CENTRO,09400-310,GLP,05/07/2021,84.99,,R$ / 13 kg,COPAGAZ
SE,SP,COTIA,FAMACOTIA COMERCIO DE GAS LTDA, 02.377.203/0001-27,RUA VASCO MASSAFELI,331,,VILA SANTO ANTONIO DO PORTAO,06700-000,GLP,05/07/2021,88,,R$ / 13 kg,BRANCA
S,RS,PORTO ALEGRE,JOSE ALOS DA SILVEIRA, 01.592.238/0001-16,RUA NOVE DE JUNHO,333,,PARTENON,91520-610,GLP,05/07/2021,82,,R$ / 13 kg,COPAGAZ
SE,SP,ARARAS,COMÉRCIO DE GÁS NOSSA SENHORA DE FÁTIMA LTDA, 01.610.555/0001-18,RUA HELIO FERREIRA DA SILVA,350,,JARDIM FATIMA,13607-040,GLP,05/07/2021,91.7,,R$ / 13 kg,COPAGAZ
N,AM,ITACOATIARA,MARCOS ANTONIO DA SILVA CABRAL, 03.019.535/0003-64,RUA ADOLFO OLIMPIO,3428,,SANTO ANTÔNIO,69100-000,GLP,05/07/2021,100,,R$ / 13 kg,FOGAS
SE,SP,PRAIA GRANDE,LUCIMERIE FIUZA TEIXEIRA ME, 03.121.009/0001-49,AVENIDA DOS TRABALHADORES,867,,SÍTIO DO CAMPO,11725-000,GLP,05/07/2021,87.99,,R$ / 13 kg,BRANCA
NE,MA,IMPERATRIZ,BORSOI REVENDEDORA DE GAS E TRANSPORTES LTDA, 03.983.360/0005-72,RUA MINAS GERAIS,555,,TRES PODERES,65903-020,GLP,05/07/2021,90,,R$ / 13 kg,LIQUIGÁS
NE,MA,IMPERATRIZ,BORSOI REVENDEDORA DE GAS E TRANSPORTES LTDA, 03.983.360/0009-04,RUA BOM JESUS,3,,VILA JOÃO CASTELO,65903-270,GLP,05/07/2021,90,,R$ / 13 kg,LIQUIGÁS
SE,MG,UBA,E C NASCIMENTO & CIA LTDA., 71.441.661/0001-09,RUA COMENDADOR JACINTO SOARES DE SOUZA LIMA,1480,,CENTRO,36500-000,GLP,05/07/2021,100,,R$ / 13 kg,ULTRAGAZ
NE,PI,TERESINA,PIAUI COMERCIO DE GAS LTDA, 73.796.617/0006-43,RUA URUGUAI,1586,,CIDADE NOVA,64017-590,GLP,05/07/2021,94.99,,R$ / 13 kg,LIQUIGÁS
S,RS,SAO GABRIEL,DORACI MACHADO FARIAS, 74.861.519/0002-81,RUA FRANCISCO SILVA,1182,,BONFIM,97300-000,GLP,05/07/2021,93,,R$ / 13 kg,SUPERGASBRAS ENERGIA
NE,BA,SALVADOR,RIO SENA GAS LTDA, 04.116.094/0004-62,AVENIDA AFRÂNIO PEIXOTO,54,,PLATAFORMA,40717-140,GLP,05/07/2021,69.99,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,MG,UBERABA,ADAO COMERCIO DE GAS EIRELI, 05.890.083/0001-55,AVENIDA PROF. MARIA PAZ BARCELOS ALMEIDA,430,,CH ELZA AMUI,38082-230,GLP,05/07/2021,85,,R$ / 13 kg,BRANCA
SE,MG,UBERABA,JOSÉ PIRES LOPES - ME, 04.882.818/0001-36,RUA DJALMA CASTRO ALVES,1572,,AMOROSO COSTA,38072-510,GLP,05/07/2021,95,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,MG,UBA,MENDES & BIANCHI LTDA, 05.272.176/0001-16,RUA MARIA LOLITA DE OLIVEIRA FERNANDES,272,,SANTA EDWIRGES,36500-001,GLP,05/07/2021,90,,R$ / 13 kg,COPAGAZ
SE,MG,UNAI,ABEL E LOURENCO COMERCIO DE GAS LTDA, 04.602.192/0001-67,PRACA GETULIO VARGAS,197,,CENTRO,38610-000,GLP,05/07/2021,110,,R$ / 13 kg,SUPERGASBRAS ENERGIA
S,SC,BRUSQUE,SOUZA GÁS LTDA, 05.201.808/0001-50,RUA JOÃO XXIII,590,,PRIMEIRO DE  MAIO,88353-530,GLP,05/07/2021,97,,R$ / 13 kg,LIQUIGÁS
NE,PE,RECIFE,SALES E SILVA DISTRIBUIDORA DE ÁGUA  LTDA, 05.797.669/0001-70,RUA TRAMANDAI,43,B - ALTO DO MANDU,CASA AMARELA,52071-230,GLP,05/07/2021,85,,R$ / 13 kg,BRANCA
S,PR,LONDRINA,CATUAI COMERCIO DE GAS LTDA., 06.307.959/0001-50,AVENIDA WALDEMAR SPRANGER,1557,,PARQUE RESIDENCIAL AURORA,86047-300,GLP,05/07/2021,100,,R$ / 13 kg,ULTRAGAZ
SE,SP,SAO BERNARDO DO CAMPO,COMÉRCIO DE GÁS 2 ANJOS LTDA ME, 49.254.980/0001-48,RUA JOSEPHINA LEONORA LOTTO BUENO,307,,PQ SELECTA,09791-510,GLP,05/07/2021,95,,R$ / 13 kg,LIQUIGÁS
SE,SP,PARAGUACU PAULISTA,VALDINEIS ROBERTO ANDRADE RODRIGUES - ME, 06.299.326/0001-48,AVENIDA BRASIL,908,FUNDOS,CENTRO,19700-000,GLP,05/07/2021,97,,R$ / 13 kg,BRANCA
SE,MG,UBERLANDIA,MARLON REIS TEODORO, 04.801.175/0001-59,RUA ABELARDO PENNA,254,,SÃO JORGE,38400-222,GLP,05/07/2021,95,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,SP,MOCOCA,SANCHES & PEREIRA COMERCIO DE GAS LTDA ME, 01.999.885/0001-47,RUA NICOLAU PAIONE,245,,CHACARA RECREIO,13737-420,GLP,05/07/2021,84,,R$ / 13 kg,SUPERGASBRAS ENERGIA
NE,PB,JOAO PESSOA,FLAVIANO TEOTONIO DE SOUZA, 05.669.532/0001-30,RUA PROFESSORA LUZIA DE CRISTO,140,,V. DE FIGUEREDO,58063-210,GLP,05/07/2021,90,,R$ / 13 kg,BAHIANA
N,TO,GURUPI,ADILSON R. MENDES, 06.215.187/0001-27,AVENIDA AMAPA,954,QUADRA B-18 LOTE 09,ALTO DOS BURITIS,77413-300,GLP,05/07/2021,110,,R$ / 13 kg,SUPERGASBRAS ENERGIA
NE,PB,CAMPINA GRANDE,MARINALVA BARBOSA DE QUEIROZ ME, 04.976.603/0001-84,RUA OLEGARIO MARIANO,32,FUNDOS,CATOLE,58104-450,GLP,05/07/2021,96,,R$ / 13 kg,NACIONAL GÁS BUTANO
S,RS,SANTA ROSA,NOROESTE COMERCIO DE GAS LTDA, 06.339.959/0001-32,AVENIDA FLORES DA CUNHA,201,ANEXO 1,CRUZEIRO,98789-112,GLP,05/07/2021,90,,R$ / 13 kg,ULTRAGAZ
SE,SP,BOTUCATU,ZILO COMERCIO DE GAS LTDA, 06.124.988/0001-87,RUA MAJOR MATHEUS,991,,VILA DOS LAVRADORES,18609-083,GLP,05/07/2021,83,,R$ / 13 kg,BRANCA
S,RS,SANTA ROSA,TIMM. TELO & CIA LTDA, 05.438.269/0001-78,RODOVIA RS-307,381,,AUXILIADORA,98796-610,GLP,05/07/2021,88,,R$ / 13 kg,SUPERGASBRAS ENERGIA
CO,GO,ANAPOLIS,FÁTIMA APARECIDA PEREIRA - ME., 06.348.879/0001-43,RUA P 43,431,QUADRA 24 LOTE 01,JARDIM PROGRESSO,75063-590,GLP,05/07/2021,90,,R$ / 13 kg,BRANCA
SE,SP,CAMPINAS,DIGIGÁS COMÉRCIO DE GÁS LTDA., 06.813.247/0001-03,RUA DARIO FREIRE MEIRELLES,861,,CAMPO DOS AMARAIS,13082-045,GLP,05/07/2021,94.9,,R$ / 13 kg,ULTRAGAZ
SE,SP,ARARAQUARA,ANTONIO GONÇALVES FILHO ARARAQUARA, 01.046.437/0001-29,RUA DOUTOR JOSÉ LOGATTI,366,,JARDIM ROBERTO SELMI DEY,14808-403,GLP,05/07/2021,100,,R$ / 13 kg,ULTRAGAZ
SE,SP,SANTO ANDRE,XINGU COMÉRCIO DE GÁS LTDA, 61.015.012/0001-84,RUA XINGU,1322,,VILA VAL PARAISO,09060-050,GLP,05/07/2021,84.99,,R$ / 13 kg,ULTRAGAZ
N,TO,GURUPI,WANDERSON CARLOS DO VALE, 06.265.712/0001-19,AVENIDA AMAPÁ,1652,QD. 190 - LT. 14,CENTRO,77413-300,GLP,05/07/2021,100,,R$ / 13 kg,LIQUIGÁS
SE,SP,SANTO ANDRE,MARINAGAS COMERCIO DE GAS LTDA, 05.807.928/0001-04,RUA MARINA,1.295,,CAMPESTRE,09070-510,GLP,05/07/2021,94.99,,R$ / 13 kg,ULTRAGAZ
CO,GO,ANAPOLIS,TOP GAS COMERCIO DE GAS EIRELI, 06.375.339/0001-59,AVENIDA PRESIDENTE KENNEDY,1475,,MARACANA,75040-040,GLP,05/07/2021,97,,R$ / 13 kg,LIQUIGÁS
SE,SP,PIRACICABA,ARRUDA & OLIVEIRA PIRACICABA LTDA. - ME, 06.976.573/0001-31,AVENIDA RAPOSO TAVARES,149,,MATAO,13401-380,GLP,05/07/2021,85,,R$ / 13 kg,BRANCA
S,PR,PARANAGUA,PAULO ROBERTO DA SILVA - DISTRIBUIDORA DE GAS - ME., 04.413.156/0001-55,RUA ILDEFONSO MUNHOZ DA ROCHA,315,,ESTRADINHA,83206-090,GLP,05/07/2021,85,,R$ / 13 kg,ULTRAGAZ
S,RS,SANTA CRUZ DO SUL,PAULO THEODORO HORBACH NETO, 06.944.295/0001-30,RUA BARAO DO ARROIO GRANDE,993,,ARROIO GRANDE,96832-001,GLP,05/07/2021,90,,R$ / 13 kg,NACIONAL GÁS BUTANO
SE,SP,ITU,COMERCIO DE GAS AVENIDA DE ITU LTDA., 96.659.776/0001-97,AVENIDA CAETANO RUGGIERI,4046,,JARDIM DOS IPES,13310-600,GLP,05/07/2021,93,,R$ / 13 kg,ULTRAGAZ
CO,MS,DOURADOS,VALDETE BONETI, 07.185.068/0001-31,RUA PEDRO CELESTINO,78,,CENTRO,79820-140,GLP,05/07/2021,85,,R$ / 13 kg,BRANCA
S,RS,PORTO ALEGRE,POSTO DE GAS ONGARATTO LTDA, 93.075.760/0002-20,AVENIDA PROF. OSCAR PEREIRA,2958,,GLORIA,91712-320,GLP,05/07/2021,89.99,,R$ / 13 kg,LIQUIGÁS
SE,MG,UBERABA,SILVA E SILVA COMÉRCIO DE GÁS LTDA - EPP, 07.084.192/0001-00,AVENIDA ORLANDO RODRIGUES DA CUNHA,2080,,LEBLON,38026-500,GLP,05/07/2021,96,,R$ / 13 kg,BRANCA
S,RS,PELOTAS,EVERTON SILVEIRA BRITO - ME, 05.735.322/0001-00,RUA LAZARO ZAMENHOFF,892,,NAVEGANTES II,96075-120,GLP,05/07/2021,84,,R$ / 13 kg,ULTRAGAZ
SE,SP,GUARULHOS,VILLA`S COMÉRCIO DE GFÁS LTDA-ME, 06.340.638/0001-58,RUA FRANCISCO DE PAULA SANTANA,67,,VILA EDE,07112-020,GLP,05/07/2021,92,,R$ / 13 kg,LIQUIGÁS
S,RS,SANTA ROSA,LAERCIO K. ALMEIDA, 07.407.645/0001-92,RUA FLORES DA CUNHA,126,FUNDOS00,CRUZEIRO,98789-354,GLP,05/07/2021,85,,R$ / 13 kg,NACIONAL GÁS BUTANO
N,PA,BELEM,E D DOS SANTOS, 07.344.318/0001-39,RUA DA MATA-PASSAGEM RESISTÊNCIA,8,B,MARAMBAIA,66615-420,GLP,05/07/2021,98,,R$ / 13 kg,NACIONAL GÁS BUTANO
SE,SP,GUARUJA,J.N. PEREIRA - ME, 07.128.141/0001-33,AVENIDA DOM PEDRO I,1659,,JARDIM TRES MARIAS,11440-001,GLP,05/07/2021,89.99,,R$ / 13 kg,CONSIGAZ
S,RS,PELOTAS,HELOISA HELENA COSTA RODEGUEIRO, 01.216.553/0001-49,RUA TENENTE LIRA,369,,FRAGATA,96030-000,GLP,05/07/2021,87,,R$ / 13 kg,LIQUIGÁS
S,RS,PELOTAS,ANTÔNIO AUGUSTO GOMES CENTENO, 07.669.002/0001-17,AVENIDA DUQUE DE CAXIAS,68,,FRAGATA,96030-000,GLP,05/07/2021,95,,R$ / 13 kg,LIQUIGÁS
NE,BA,ILHEUS,BARBOZA & ALMEIDA LTDA EPP, 07.683.985/0001-46,AVENIDA MILTON SANTOS,250,,BOA VISTA,45652-565,GLP,05/07/2021,91,,R$ / 13 kg,BAHIANA
SE,SP,DIADEMA,BRASÍLIA COMÉRCIO DE GÁS E ÁGUA LTDA - ME, 06.651.564/0001-70,AVENIDA BRASÍLIA,900,,JARDIM CAMPANÁRIO,09931-400,GLP,05/07/2021,92.99,,R$ / 13 kg,ULTRAGAZ
SE,SP,RIBEIRAO PIRES,MONIQUE TEIXEIRA GOMES GÁS - ME., 07.709.289/0001-61,RUA CAPITAO JOSE GALLO,940,,CENTRO,09400-080,GLP,05/07/2021,85,,R$ / 13 kg,NACIONAL GÁS BUTANO
N,PA,BELEM,FRANCISCO RICARDO VALERIANO LOPES - ME, 05.579.355/0001-09,RUA NOVA,25,,MARAMBAIA,66623-700,GLP,05/07/2021,98,,R$ / 13 kg,LIQUIGÁS
N,TO,GURUPI,SANTOS & MEDEIROS LTDA, 05.852.950/0001-68,AVENIDA PARAIBA,555,QUADRAPMG                 LOTE  06,CENTRO,77410-060,GLP,05/07/2021,105,,R$ / 13 kg,LIQUIGÁS
NE,PB,JOAO PESSOA,NEIDE PEREIRA DA SILVA ALMEIDA, 07.750.863/0001-25,RUA SEVERINO MACENA DANTAS,13,,MANGABEIRA,58058-845,GLP,05/07/2021,90,,R$ / 13 kg,BRANCA
SE,SP,JOSE BONIFACIO,J. B. PEREIRA GAS - ME, 04.849.575/0001-34,RUA 13 DE MAIO,403,TÉRREO,CENTRO,15200-000,GLP,05/07/2021,89,,R$ / 13 kg,BRANCA
SE,SP,TABOAO DA SERRA,GRABALLOS & CIA LTDA ME, 04.584.483/0001-70,ESTRADA BENEDITO CESÁRIO DE OLIVEIRA,1223,,PARQUE PINHEIROS,06766-280,GLP,05/07/2021,84.99,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,SP,PIRACICABA,GAS FORTE COMERCIO DE G.L.P. LTDA, 07.368.352/0001-43,AVENIDA SAO PAULO,2208,,PAULICEIA,13401-541,GLP,05/07/2021,85,,R$ / 13 kg,BRANCA
N,PA,BELEM,B. R. A. COMERCIO DE GAS LTDA. - ME., 07.014.998/0001-22,TRAVESSA  OUREM,95,CONJ. MEDICI I,MARAMBAIA,66620-430,GLP,05/07/2021,98,,R$ / 13 kg,LIQUIGÁS
N,AM,MANAUS,F.G. DA SILVA, 07.687.223/0001-18,AVENIDA PADRE AGOSTINHO C MARTIN,268,A,COMPENSA,69030-090,GLP,05/07/2021,93,,R$ / 13 kg,FOGAS
SE,MG,BELO HORIZONTE,COMERCIAL JR3 LTDA, 71.416.150/0001-29,AVENIDA DEPUTADO ULTIMO DE CARVALHO,500,,PLANALTO,31730-600,GLP,05/07/2021,90,,R$ / 13 kg,SUPERGASBRAS ENERGIA
S,RS,CAXIAS DO SUL,HERRMANN TELE ENTREGA DE GÁS LTDA., 05.694.728/0001-84,RUA ELPÍDIO PEREIRA DA SILVA,457,,SERRANO,95059-730,GLP,05/07/2021,90,,R$ / 13 kg,ULTRAGAZ
SE,SP,OURINHOS,GONÇALO MIRANDA - ME, 07.933.961/0001-06,RUA GASPAR RICARDO,1108,,VILA NOVA SA,19911-832,GLP,05/07/2021,86,,R$ / 13 kg,COPAGAZ
SE,MG,UBERABA,J. R. DISTRIBUIDORA DE GAS LTDA, 07.575.306/0001-15,AVENIDA LUCAS BORGES,308,,FABRICIO,38065-350,GLP,05/07/2021,90,,R$ / 13 kg,BRANCA
SE,SP,GUARULHOS,MARILEIDE ALVES DA SILVA GÁS, 05.544.550/0001-95,RUA FRANCISCO PEREIRA,321,ANT 289,VILA GALVÃO,07071-060,GLP,05/07/2021,85,,R$ / 13 kg,BRANCA
